flow,pkts,bytes,dur,pps,mean_size,std_size,min_iat,mean_iat,syn,ack,fin,rst,syn_frac,bidir,proto,dport,label
"('4', '10.152.60.92', 63242, '163.118.113.58', 1505, 'TCP')",1,54,1e-09,999999999.9999999,54.0,0.0,1e-09,1e-09,1,0,0,0,1.0,0,TCP,163.118.113.58,Malicious
"('4', '10.152.60.92', 53408, '74.125.136.207', 443, 'UDP')",471,474705,2.5644428730010986,183.66562381200615,1007.8662420382166,604.1939210309207,0.0,0.005456261431917231,0,0,0,0,0.0,1,UDP,74.125.136.207,Normal
"('4', '10.152.60.92', 59305, '140.82.112.6', 443, 'TCP')",18,1472,9.353693962097168,1.9243734157798194,81.77777777777777,14.615652019346154,1.9073486328125e-06,0.5502172918880687,0,17,11,1,0.0,1,TCP,140.82.112.6,Normal
"('4', '10.152.60.92', 60993, '17.248.201.67', 443, 'TCP')",31,15863,0.16887378692626953,183.56904623412413,511.7096774193548,553.6029317438446,3.814697265625e-06,0.005629126230875651,2,30,0,0,0.06451612903225806,1,TCP,17.248.201.67,Normal
"('4', '10.152.60.92', 60994, '17.248.201.67', 443, 'TCP')",48,19773,4.440327882766724,10.81001251873582,411.9375,510.63344673756274,0.0,0.0944750613354622,2,47,2,0,0.041666666666666664,1,TCP,17.248.201.67,Normal
"('4', '10.152.43.40', 7000, '10.152.60.92', 59316, 'TCP')",13,2903,0.04686403274536133,277.3982356711877,223.30769230769232,385.234670661001,1.1920928955078125e-06,0.003905336062113444,2,12,2,0,0.15384615384615385,1,TCP,10.152.60.92,Normal
"('4', '10.152.60.92', 57689, '172.217.165.195', 443, 'UDP')",23,14278,0.05649614334106445,407.1074349473755,620.7826086956521,556.1565275853583,0.0,0.0025680065155029297,0,0,0,0,0.0,1,UDP,172.217.165.195,Normal
"('4', '10.152.60.92', 59317, '10.156.2.211', 7000, 'TCP')",7,546,7.004616022109985,0.9993410028336436,78.0,0.0,1.0002670288085938,1.1674360036849976,7,0,0,0,1.0,0,TCP,10.156.2.211,Normal
"('4', '10.152.60.92', 39250, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 17058, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 11827, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 8846, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 59332, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 54624, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 16047, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 21963, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 15140, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 15906, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 63643, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 1465, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
"('4', '10.152.60.92', 23370, '163.118.113.58', 9999, 'UDP')",1,74,1e-09,999999999.9999999,74.0,0.0,1e-09,1e-09,0,0,0,0,0.0,0,UDP,163.118.113.58,Malicious
